0,1,gen,rep,R
0.010536242424242424,2500.5,122500,63,0.1
0.011521656565656568,7500.5,122500,63,0.1
0.014692929292929292,12500.5,122500,63,0.1
0.00539640404040404,17500.5,122500,63,0.1
0.007682505050505052,22500.5,122500,63,0.1
0.009932646464646464,2500.5,140000,27,10.0
0.011250222222222222,7500.5,140000,27,10.0
0.008414343434343434,12500.5,140000,27,10.0
0.008640565656565657,17500.5,140000,27,10.0
0.010007070707070707,22500.5,140000,27,10.0
0.011549010101010102,2500.5,140000,40,1.0
0.0077213333333333335,7500.5,140000,40,1.0
0.006780161616161616,12500.5,140000,40,1.0
0.011970666666666668,17500.5,140000,40,1.0
0.009450303030303031,22500.5,140000,40,1.0
0.009920484848484849,2500.5,122500,36,10.0
0.008004242424242426,7500.5,122500,36,10.0
0.008578787878787878,12500.5,122500,36,10.0
0.010249656565656566,17500.5,122500,36,10.0
0.008816888888888888,22500.5,122500,36,10.0
0.011474141414141414,2500.5,100000,29,0.1
0.006591959595959596,7500.5,100000,29,0.1
0.005127636363636364,12500.5,100000,29,0.1
0.007929979797979799,17500.5,100000,29,0.1
0.013740929292929294,22500.5,100000,29,0.1
0.011252363636363637,2500.5,137500,26,10.0
0.007728121212121214,7500.5,137500,26,10.0
0.009205131313131313,12500.5,137500,26,10.0
0.009453171717171718,17500.5,137500,26,10.0
0.008347515151515153,22500.5,137500,26,10.0
0.009253171717171715,2500.5,107500,19,10.0
0.009032040404040403,7500.5,107500,19,10.0
0.008742707070707071,12500.5,107500,19,10.0
0.009037656565656565,17500.5,107500,19,10.0
0.009628969696969697,22500.5,107500,19,10.0
0.010022464646464647,2500.5,130000,39,10.0
0.011382949494949496,7500.5,130000,39,10.0
0.008423555555555556,12500.5,130000,39,10.0
0.010070141414141415,17500.5,130000,39,10.0
0.010212848484848484,22500.5,130000,39,10.0
0.010912888888888889,2500.5,122500,55,10.0
0.011593535353535354,7500.5,122500,55,10.0
0.009163838383838385,12500.5,122500,55,10.0
0.010651838383838383,17500.5,122500,55,10.0
0.008155272727272728,22500.5,122500,55,10.0
0.010620363636363638,2500.5,135000,4,10.0
0.009912727272727273,7500.5,135000,4,10.0
0.009183515151515153,12500.5,135000,4,10.0
0.009294383838383838,17500.5,135000,4,10.0
0.011148282828282828,22500.5,135000,4,10.0
0.008446181818181818,2500.5,130000,45,1.0
0.00804109090909091,7500.5,130000,45,1.0
0.009506949494949495,12500.5,130000,45,1.0
0.008087434343434344,17500.5,130000,45,1.0
0.010923757575757576,22500.5,130000,45,1.0
0.009350303030303032,2500.5,97500,31,10.0
0.00906517171717172,7500.5,97500,31,10.0
0.008798141414141415,12500.5,97500,31,10.0
0.007486262626262626,17500.5,97500,31,10.0
0.00908088888888889,22500.5,97500,31,10.0
0.010408040404040404,2500.5,122500,29,10.0
0.008858949494949494,7500.5,122500,29,10.0
0.008764242424242426,12500.5,122500,29,10.0
0.010158909090909092,17500.5,122500,29,10.0
0.008327636363636363,22500.5,122500,29,10.0
0.006148040404040404,2500.5,132500,52,0.1
0.005727232323232323,7500.5,132500,52,0.1
0.007867111111111111,12500.5,132500,52,0.1
0.010103070707070705,17500.5,132500,52,0.1
0.007939959595959596,22500.5,132500,52,0.1
0.009487717171717171,2500.5,105000,33,10.0
0.007516808080808081,7500.5,105000,33,10.0
0.009852929292929292,12500.5,105000,33,10.0
0.00803741414141414,17500.5,105000,33,10.0
0.010191070707070708,22500.5,105000,33,10.0
0.008612242424242425,2500.5,87500,13,10.0
0.00909919191919192,7500.5,87500,13,10.0
0.00816759595959596,12500.5,87500,13,10.0
0.007647878787878787,17500.5,87500,13,10.0
0.009357373737373737,22500.5,87500,13,10.0
0.009602868686868686,2500.5,135000,47,1.0
0.005016525252525252,7500.5,135000,47,1.0
0.00710690909090909,12500.5,135000,47,1.0
0.008945090909090908,17500.5,135000,47,1.0
0.008348040404040405,22500.5,135000,47,1.0
0.008989333333333335,2500.5,95000,45,10.0
0.011005535353535354,7500.5,95000,45,10.0
0.00876610101010101,12500.5,95000,45,10.0
