pi,window_r,window_locations,gen,rep
0.003742686868686869,,5000.5,135000,2
0.004967252525252525,,15000.5,135000,2
0.006402646464646466,,25000.5,135000,2
0.004650949494949495,,35000.5,135000,2
0.005347414141414142,,45000.5,135000,2
0.0073013737373737375,9.508211999999999e-07,55000.5,135000,2
0.006190626262626262,6.538812000000001e-07,65000.5,135000,2
0.0029739999999999996,6.538812e-07,75000.5,135000,2
0.004058161616161616,6.538812000000001e-07,85000.5,135000,2
0.0032086262626262623,3.5694059999999997e-07,95000.5,135000,2
0.004007858585858585,3.5694059999999997e-07,105000.5,135000,2
0.005881939393939395,4.854228e-07,115000.5,135000,2
0.006774040404040403,3.5694059999999997e-07,125000.5,135000,2
0.0043205454545454545,3.5694059999999997e-07,135000.5,135000,2
0.0024426464646464647,3.5694059999999997e-07,145000.5,135000,2
0.0025815757575757574,3.5694059999999997e-07,155000.5,135000,2
0.005284585858585858,3.5694059999999997e-07,165000.5,135000,2
0.004058505050505051,3.5694059999999997e-07,175000.5,135000,2
0.0022007676767676772,3.5694059999999997e-07,185000.5,135000,2
0.003798989898989899,3.5694059999999997e-07,195000.5,135000,2
0.005479838383838385,3.5694059999999997e-07,205000.5,135000,2
0.0035105252525252525,1.754736e-07,215000.5,135000,2
0.004828424242424243,1.755924e-07,225000.5,135000,2
0.004584505050505051,3.5694059999999997e-07,235000.5,135000,2
0.003936404040404041,3.5694059999999997e-07,245000.5,135000,2
0.005323919191919192,3.963822e-07,255000.5,135000,2
0.007116727272727272,6.538812e-07,265000.5,135000,2
0.004932909090909091,6.538812e-07,275000.5,135000,2
0.0031885454545454548,6.538812e-07,285000.5,135000,2
0.003990080808080808,6.538812e-07,295000.5,135000,2
0.004109676767676768,6.538812000000001e-07,305000.5,135000,2
0.0035906060606060606,6.538812000000001e-07,315000.5,135000,2
0.0033182222222222224,5.382888e-07,325000.5,135000,2
0.003913252525252525,3.5694059999999997e-07,335000.5,135000,2
0.004099515151515152,3.5694059999999997e-07,345000.5,135000,2
0.00597179797979798,3.1749900000000006e-07,355000.5,135000,2
0.004671050505050505,6.000000000000001e-08,365000.5,135000,2
0.004994464646464647,6.000000000000001e-08,375000.5,135000,2
0.004273010101010101,2.4146700000000003e-07,385000.5,135000,2
0.0050773535353535355,3.5694059999999997e-07,395000.5,135000,2
0.005783797979797979,3.5694059999999997e-07,405000.5,135000,2
0.004633313131313131,3.5694059999999997e-07,415000.5,135000,2
0.005670444444444444,6.538812000000001e-07,425000.5,135000,2
0.004012444444444445,6.538812e-07,435000.5,135000,2
0.004810363636363637,6.538812000000001e-07,445000.5,135000,2
0.004007050505050505,6.538812e-07,455000.5,135000,2
0.005222000000000001,6.538812000000001e-07,465000.5,135000,2
0.005771191919191919,6.538812e-07,475000.5,135000,2
0.004094404040404041,4.7241419999999997e-07,485000.5,135000,2
0.0030890707070707073,3.5694059999999997e-07,495000.5,135000,2
0.0036278787878787876,3.5694059999999997e-07,505000.5,135000,2
0.004262666666666666,3.5694059999999997e-07,515000.5,135000,2
0.005144202020202021,6.000000000000001e-08,525000.5,135000,2
0.005157171717171717,6.000000000000001e-08,535000.5,135000,2
0.0036675151515151512,6.000000000000001e-08,545000.5,135000,2
0.003942181818181819,6.000000000000001e-08,555000.5,135000,2
0.005912626262626263,6.000000000000001e-08,565000.5,135000,2
0.006130323232323232,6.000000000000001e-08,575000.5,135000,2
0.005019555555555556,6.000000000000001e-08,585000.5,135000,2
0.005784969696969696,2.947488e-07,595000.5,135000,2
0.005240080808080807,3.5694059999999997e-07,605000.5,135000,2
0.0043437575757575755,3.5694059999999997e-07,615000.5,135000,2
0.0022749696969696976,6.286361999999999e-07,625000.5,135000,2
0.002583555555555556,9.508217999999998e-07,635000.5,135000,2
0.003834626262626263,9.508217999999998e-07,645000.5,135000,2
0.004082464646464647,9.508217999999998e-07,655000.5,135000,2
0.0059313333333333345,9.508218000000001e-07,665000.5,135000,2
0.005484262626262627,1.1026481999999998e-06,675000.5,135000,2
0.005620242424242424,1.2544745999999998e-06,685000.5,135000,2
0.003849050505050505,1.0197258e-06,695000.5,135000,2
0.0024325454545454546,9.575339999999998e-07,705000.5,135000,2
0.004456282828282828,9.57534e-07,715000.5,135000,2
0.004611898989898991,6.858384e-07,725000.5,135000,2
0.0037144646464646472,3.6365280000000005e-07,735000.5,135000,2
0.003347151515151515,3.636528e-07,745000.5,135000,2
0.004116565656565656,3.6365280000000005e-07,755000.5,135000,2
0.0039051919191919198,3.636528e-07,765000.5,135000,2
0.004058969696969697,2.1182640000000003e-07,775000.5,135000,2
0.004561535353535353,6.000000000000001e-08,785000.5,135000,2
0.004415373737373737,6.000000000000001e-08,795000.5,135000,2
0.0038604646464646462,2.868486e-07,805000.5,135000,2
0.004485292929292929,3.5694059999999997e-07,815000.5,135000,2
0.0039302020202020204,3.5694059999999997e-07,825000.5,135000,2
0.0029297171717171723,3.5694059999999997e-07,835000.5,135000,2
0.005840444444444443,3.569406000000001e-07,845000.5,135000,2
0.005116363636363637,3.5694059999999997e-07,855000.5,135000,2
0.004904808080808081,6.538812000000001e-07,865000.5,135000,2
0.005587939393939393,6.538812e-07,875000.5,135000,2
0.004167777777777778,6.538812000000001e-07,885000.5,135000,2
0.0025347070707070715,6.538812e-07,895000.5,135000,2
0.0036975353535353534,4.270326e-07,905000.5,135000,2
0.004571515151515152,3.5694059999999997e-07,915000.5,135000,2
0.0028920606060606063,3.5694059999999997e-07,925000.5,135000,2
0.004276363636363636,3.5694059999999997e-07,935000.5,135000,2
0.00436688888888889,3.5694059999999997e-07,945000.5,135000,2
0.003895838383838384,3.5694059999999997e-07,955000.5,135000,2
0.002512868686868687,6.000000000000001e-08,965000.5,135000,2
0.002191474747474748,6.000000000000001e-08,975000.5,135000,2
0.0024605656565656565,3.5694059999999997e-07,985000.5,135000,2
0.003484040404040405,3.5694059999999997e-07,995000.5,135000,2
0.004136767676767677,5.017578e-07,1005000.5,135000,2
0.003957838383838385,6.538812000000001e-07,1015000.5,135000,2
0.00325339393939394,6.538812e-07,1025000.5,135000,2
0.0052084848484848486,6.538812e-07,1035000.5,135000,2
0.00412179797979798,6.538812e-07,1045000.5,135000,2
0.004370949494949495,9.508218000000001e-07,1055000.5,135000,2
0.00478369696969697,9.508218000000002e-07,1065000.5,135000,2
0.005396828282828283,9.508217999999998e-07,1075000.5,135000,2
0.005155272727272727,6.538812000000001e-07,1085000.5,135000,2
0.005907858585858586,6.538812e-07,1095000.5,135000,2
0.005115838383838384,7.031238e-07,1105000.5,135000,2
0.005654121212121213,6.538812e-07,1115000.5,135000,2
0.002879575757575758,6.538812e-07,1125000.5,135000,2
0.0022955959595959597,6.538812000000001e-07,1135000.5,135000,2
0.008181777777777777,6.538812000000001e-07,1145000.5,135000,2
0.00442989898989899,3.5694059999999997e-07,1155000.5,135000,2
0.0065539595959595975,3.5694059999999997e-07,1165000.5,135000,2
0.005867050505050505,3.5694059999999997e-07,1175000.5,135000,2
0.006474363636363637,3.5694059999999997e-07,1185000.5,135000,2
0.005743252525252525,3.5694059999999997e-07,1195000.5,135000,2
0.0036244242424242415,3.5058480000000005e-07,1205000.5,135000,2
0.006240464646464647,3.5694059999999997e-07,1215000.5,135000,2
0.003375616161616162,3.5694059999999997e-07,1225000.5,135000,2
0.004572222222222223,3.569406000000001e-07,1235000.5,135000,2
0.0042673131313131305,3.5694059999999997e-07,1245000.5,135000,2
0.004718020202020202,3.5694059999999997e-07,1255000.5,135000,2
0.005357030303030304,6.298836000000001e-07,1265000.5,135000,2
0.002687454545454546,6.538812e-07,1275000.5,135000,2
0.0036885050505050506,6.538812e-07,1285000.5,135000,2
0.0057927676767676765,6.538812000000001e-07,1295000.5,135000,2
0.0037499797979797973,5.139348e-07,1305000.5,135000,2
0.00466159595959596,6.538812e-07,1315000.5,135000,2
0.0047169898989898994,6.538812000000001e-07,1325000.5,135000,2
0.0036038787878787887,9.508218000000001e-07,1335000.5,135000,2
0.0037766060606060606,9.508218000000001e-07,1345000.5,135000,2
0.004802141414141414,1.0509702e-06,1355000.5,135000,2
0.002831575757575758,1.0557222e-06,1365000.5,135000,2
0.0031979191919191924,1.3725024e-06,1375000.5,135000,2
0.006479050505050506,1.3725023999999996e-06,1385000.5,135000,2
0.004241878787878788,1.3725024e-06,1395000.5,135000,2
0.004197858585858586,1.3247448e-06,1405000.5,135000,2
0.00527989898989899,1.0755617999999998e-06,1415000.5,135000,2
0.006617030303030302,1.0755617999999998e-06,1425000.5,135000,2
0.004212202020202021,7.786212000000001e-07,1435000.5,135000,2
0.005360828282828282,1.0755618e-06,1445000.5,135000,2
0.006464606060606061,9.754134e-07,1455000.5,135000,2
0.002163111111111111,6.977184e-07,1465000.5,135000,2
0.0014374747474747475,3.5694059999999997e-07,1475000.5,135000,2
0.0032612323232323235,3.5694059999999997e-07,1485000.5,135000,2
0.004737090909090909,3.5694059999999997e-07,1495000.5,135000,2
0.00811288888888889,3.5694059999999997e-07,1505000.5,135000,2
0.006978424242424243,3.5694059999999997e-07,1515000.5,135000,2
0.005271212121212121,6.538812e-07,1525000.5,135000,2
0.0033616363636363635,6.538812000000001e-07,1535000.5,135000,2
0.00493789898989899,3.5694059999999997e-07,1545000.5,135000,2
0.004855212121212121,3.5694059999999997e-07,1555000.5,135000,2
0.0033683838383838384,3.5694059999999997e-07,1565000.5,135000,2
0.004653636363636363,3.5694059999999997e-07,1575000.5,135000,2
