pi,window_r,window_locations,gen,rep
0.0036446262626262625,,50000.5,90000,10
0.0031132020202020204,,150000.5,90000,10
0.003580016161616162,,250000.5,90000,10
0.003533254545454546,,350000.5,90000,10
0.00413159393939394,,450000.5,90000,10
0.004505753535353535,6.067412999999999e-07,550000.5,90000,10
0.0043607737373737385,6.0674136e-07,650000.5,90000,10
0.003525581818181818,5.415558e-07,750000.5,90000,10
0.0036558282828282832,4.8216768e-07,850000.5,90000,10
0.003719985858585859,3.9308550000000007e-07,950000.5,90000,10
0.0035616040404040403,2.6785842e-07,1050000.5,90000,10
0.003154806060606061,2.9755248000000006e-07,1150000.5,90000,10
0.0030157393939393945,2.6785842000000006e-07,1250000.5,90000,10
0.0025043797979797983,2.9755248000000006e-07,1350000.5,90000,10
0.0032350484848484846,2.9099472000000006e-07,1450000.5,90000,10
0.003157288888888889,2.3816436e-07,1550000.5,90000,10
0.004017048484848485,2.3816436e-07,1650000.5,90000,10
0.003959692929292929,2.9755248e-07,1750000.5,90000,10
0.0034441919191919193,2.9755248e-07,1850000.5,90000,10
0.0026824525252525256,4.1632872000000004e-07,1950000.5,90000,10
0.0024670121212121213,4.1632872000000004e-07,2050000.5,90000,10
0.0038892484848484844,3.8663466000000003e-07,2150000.5,90000,10
0.0038149959595959594,3.5694060000000013e-07,2250000.5,90000,10
0.003947224242424243,3.2724654000000007e-07,2350000.5,90000,10
0.0034098909090909094,3.5694060000000013e-07,2450000.5,90000,10
0.004413866666666667,4.1632872000000004e-07,2550000.5,90000,10
0.003280171717171717,4.757168400000001e-07,2650000.5,90000,10
0.0033702747474747474,4.4602278000000005e-07,2750000.5,90000,10
0.003553854545454545,5.054109e-07,2850000.5,90000,10
0.003179416161616162,4.1632872000000004e-07,2950000.5,90000,10
0.0032927131313131314,4.1632872000000004e-07,3050000.5,90000,10
0.003857327272727273,3.8663466000000003e-07,3150000.5,90000,10
0.00313260202020202,4.1632872000000004e-07,3250000.5,90000,10
0.0038619393939393937,3.8663466000000003e-07,3350000.5,90000,10
0.0036385818181818184,3.5694059999999997e-07,3450000.5,90000,10
0.0032895050505050505,3.5694060000000013e-07,3550000.5,90000,10
0.002812808080808081,2.6785842000000006e-07,3650000.5,90000,10
0.0029259696969696973,2.6785842e-07,3750000.5,90000,10
0.003683670707070707,2.0847030000000002e-07,3850000.5,90000,10
0.002716151515151515,1.7877624e-07,3950000.5,90000,10
0.003937979797979798,2.3816436000000002e-07,4050000.5,90000,10
0.0033038343434343437,2.6785842000000006e-07,4150000.5,90000,10
0.0032516181818181816,2.6785842000000006e-07,4250000.5,90000,10
0.003232858585858586,2.9755248000000006e-07,4350000.5,90000,10
0.0035484040404040406,3.2724654e-07,4450000.5,90000,10
0.002962808080808081,2.9755248e-07,4550000.5,90000,10
0.003974517171717172,2.9755248e-07,4650000.5,90000,10
0.0038694101010101007,2.9755248e-07,4750000.5,90000,10
0.0038136646464646457,3.2724654e-07,4850000.5,90000,10
0.003280836363636364,3.2724653999999996e-07,4950000.5,90000,10
0.0034911050505050507,2.6785842000000006e-07,5050000.5,90000,10
0.002992052525252525,2.3816436e-07,5150000.5,90000,10
0.003022830303030303,2.9755248e-07,5250000.5,90000,10
0.002598404040404041,2.8119966000000004e-07,5350000.5,90000,10
0.0033412343434343432,3.1045416000000003e-07,5450000.5,90000,10
0.002462109090909091,3.9056694000000005e-07,5550000.5,90000,10
0.0033046060606060604,4.4725236e-07,5650000.5,90000,10
0.002591048484848485,4.2026100000000006e-07,5750000.5,90000,10
0.0035205151515151517,4.202610000000001e-07,5850000.5,90000,10
0.0042591090909090915,4.4995505999999996e-07,5950000.5,90000,10
0.003822638383838384,4.4995505999999996e-07,6050000.5,90000,10
0.003303648484848485,5.390372399999999e-07,6150000.5,90000,10
0.004026519191919192,5.3903724e-07,6250000.5,90000,10
0.0035738383838383836,5.256960000000001e-07,6350000.5,90000,10
0.002991323232323232,4.964415e-07,6450000.5,90000,10
0.003123161616161616,4.460227800000001e-07,6550000.5,90000,10
0.003790989898989899,4.4872548000000014e-07,6650000.5,90000,10
0.004103678787878788,4.4602278000000005e-07,6750000.5,90000,10
0.0031899656565656563,4.4100348e-07,6850000.5,90000,10
0.0035827555555555555,4.887313800000001e-07,6950000.5,90000,10
0.003423561616161616,5.1842544e-07,7050000.5,90000,10
0.0030843212121212126,4.887313800000001e-07,7150000.5,90000,10
0.003601791919191919,4.2934326e-07,7250000.5,90000,10
0.0036454161616161617,4.2934326e-07,7350000.5,90000,10
0.0038460343434343434,4.8873138e-07,7450000.5,90000,10
0.0033928303030303026,4.5903732e-07,7550000.5,90000,10
0.0035166606060606062,3.996492e-07,7650000.5,90000,10
0.0036805555555555554,4.5903732e-07,7750000.5,90000,10
0.0035668989898989902,5.234447399999999e-07,7850000.5,90000,10
0.004073230303030303,4.7571684000000005e-07,7950000.5,90000,10
0.0035832949494949496,5.054109e-07,8050000.5,90000,10
0.0029988020202020202,4.7571684000000016e-07,8150000.5,90000,10
0.003965834343434343,5.054109e-07,8250000.5,90000,10
0.0041039717171717175,5.647990199999999e-07,8350000.5,90000,10
0.0032275757575757577,5.054109e-07,8450000.5,90000,10
0.0035025575757575756,5.351049600000001e-07,8550000.5,90000,10
0.004183420202020202,5.351049600000001e-07,8650000.5,90000,10
0.0037541252525252525,5.3510496e-07,8750000.5,90000,10
0.00354609494949495,5.054109e-07,8850000.5,90000,10
0.003600565656565657,4.757168400000001e-07,8950000.5,90000,10
0.0029740101010101013,4.1632872000000004e-07,9050000.5,90000,10
0.0033822747474747472,4.460227800000001e-07,9150000.5,90000,10
0.0034172141414141413,4.1632872000000004e-07,9250000.5,90000,10
0.002732818181818182,3.8663466000000003e-07,9350000.5,90000,10
0.002931674747474748,3.8663466000000003e-07,9450000.5,90000,10
0.0034560929292929295,,9550000.5,90000,10
0.0037613313131313135,,9650000.5,90000,10
0.002967171717171717,,9750000.5,90000,10
0.0031771656565656565,,9850000.5,90000,10
0.0030266626262626267,,9950000.5,90000,10
0.003811523232323232,,50000.5,80000,19
0.0034925737373737377,,150000.5,80000,19
0.003169741414141414,,250000.5,80000,19
0.0040676929292929286,,350000.5,80000,19
0.0036206505050505053,,450000.5,80000,19
0.0032599151515151515,3.550338e-07,550000.5,80000,19
0.0027021313131313134,3.5503386000000005e-07,650000.5,80000,19
0.0033293414141414143,3.569406000000001e-07,750000.5,80000,19
0.0033410808080808077,3.8663466000000003e-07,850000.5,80000,19
0.003860838383838384,3.569406000000001e-07,950000.5,80000,19
0.003375153535353536,4.757168400000001e-07,1050000.5,80000,19
0.0030994747474747475,5.054109e-07,1150000.5,80000,19
0.0033415595959595964,5.3510496e-07,1250000.5,80000,19
0.002856084848484849,5.054109e-07,1350000.5,80000,19
0.003312357575757576,4.7571684000000016e-07,1450000.5,80000,19
0.0036404747474747473,4.4602278000000005e-07,1550000.5,80000,19
0.003517452525252525,4.1632872000000004e-07,1650000.5,80000,19
0.0030693858585858582,3.8663466000000003e-07,1750000.5,80000,19
0.0035362020202020206,3.5694060000000013e-07,1850000.5,80000,19
0.0034038767676767678,3.8663466000000003e-07,1950000.5,80000,19
0.003817709090909091,3.2724654e-07,2050000.5,80000,19
0.0025964222222222225,3.2724654e-07,2150000.5,80000,19
0.0033030929292929296,3.2724654e-07,2250000.5,80000,19
0.0041775979797979805,2.9755248e-07,2350000.5,80000,19
0.00384609898989899,2.6785842e-07,2450000.5,80000,19
0.0032638101010101007,2.9755248e-07,2550000.5,80000,19
0.0038916,3.431954400000001e-07,2650000.5,80000,19
0.00309069696969697,3.431954400000001e-07,2750000.5,80000,19
0.0032804686868686873,3.431954400000001e-07,2850000.5,80000,19
0.002653585858585859,3.135013800000001e-07,2950000.5,80000,19
0.0038992464646464653,2.8380732e-07,3050000.5,80000,19
0.0029446707070707066,2.5411326e-07,3150000.5,80000,19
0.002900505050505051,2.5411326e-07,3250000.5,80000,19
0.003368313131313131,2.8380731999999996e-07,3350000.5,80000,19
0.0038547656565656565,3.1350138000000013e-07,3450000.5,80000,19
0.0032472242424242425,2.8380732e-07,3550000.5,80000,19
0.002733787878787879,2.6785842000000006e-07,3650000.5,80000,19
0.0035072444444444444,2.3816435999999997e-07,3750000.5,80000,19
0.0025376727272727276,2.6785842e-07,3850000.5,80000,19
0.003620090909090909,2.9755248e-07,3950000.5,80000,19
0.00320889898989899,2.9755248000000006e-07,4050000.5,80000,19
0.0036304949494949494,3.5694060000000013e-07,4150000.5,80000,19
0.002942749494949495,3.2724654000000007e-07,4250000.5,80000,19
0.00254460404040404,3.569406000000001e-07,4350000.5,80000,19
0.004348513131313131,3.8663466000000003e-07,4450000.5,80000,19
0.0036743717171717175,4.1632872000000004e-07,4550000.5,80000,19
0.0028984747474747477,3.8663466000000003e-07,4650000.5,80000,19
0.003955254545454545,3.8663466000000003e-07,4750000.5,80000,19
0.00440220202020202,4.1632872000000004e-07,4850000.5,80000,19
0.0036110949494949493,3.8663466000000003e-07,4950000.5,80000,19
0.0029537797979797983,3.8663466000000003e-07,5050000.5,80000,19
0.0023721717171717176,3.2724654000000007e-07,5150000.5,80000,19
0.0029110101010101017,3.8663466000000003e-07,5250000.5,80000,19
0.0028184787878787875,3.8663466000000003e-07,5350000.5,80000,19
0.0035896525252525255,3.8663466000000003e-07,5450000.5,80000,19
0.0027174888888888893,3.569406000000001e-07,5550000.5,80000,19
0.003135046464646465,3.569406000000001e-07,5650000.5,80000,19
0.0036823494949494956,4.1632872000000004e-07,5750000.5,80000,19
0.003702111111111111,3.569406000000001e-07,5850000.5,80000,19
0.0039670020202020205,3.5923938e-07,5950000.5,80000,19
0.0034871434343434343,4.1632872000000004e-07,6050000.5,80000,19
0.0035764444444444446,4.4602278e-07,6150000.5,80000,19
0.002955076767676768,3.8663466000000003e-07,6250000.5,80000,19
0.002771246464646465,4.3510506e-07,6350000.5,80000,19
0.003445008080808081,4.05411e-07,6450000.5,80000,19
0.0037297393939393943,4.0541100000000006e-07,6550000.5,80000,19
0.0032048121212121215,4.351050600000001e-07,6650000.5,80000,19
0.0029277515151515153,4.351050600000001e-07,6750000.5,80000,19
0.003019587878787879,4.9449318e-07,6850000.5,80000,19
0.0034660363636363637,5.218884600000001e-07,6950000.5,80000,19
0.0033403454545454544,4.6479912000000007e-07,7050000.5,80000,19
0.0038626969696969695,4.944931800000001e-07,7150000.5,80000,19
0.0033339999999999997,5.8357536e-07,7250000.5,80000,19
0.003929979797979799,5.054109e-07,7350000.5,80000,19
0.0037410303030303033,5.054109e-07,7450000.5,80000,19
0.002892173737373738,5.186392800000002e-07,7550000.5,80000,19
0.003644559595959596,5.780274e-07,7650000.5,80000,19
0.003916129292929294,5.4833334e-07,7750000.5,80000,19
0.003277585858585859,4.8894522e-07,7850000.5,80000,19
0.0038403171717171724,4.5925116000000006e-07,7950000.5,80000,19
0.0039483737373737365,4.889452199999999e-07,8050000.5,80000,19
0.0034143676767676764,5.1863928e-07,8150000.5,80000,19
0.0029048303030303033,4.295571e-07,8250000.5,80000,19
0.0026963272727272727,4.295571e-07,8350000.5,80000,19
0.002752260606060606,3.9986304e-07,8450000.5,80000,19
0.003685913131313132,3.8663466000000003e-07,8550000.5,80000,19
0.0030519030303030304,4.1632872000000004e-07,8650000.5,80000,19
0.00430869494949495,4.4602278000000005e-07,8750000.5,80000,19
0.002787268686868687,4.757168400000001e-07,8850000.5,80000,19
0.0034421595959595965,5.054109e-07,8950000.5,80000,19
0.0036816363636363635,5.054109e-07,9050000.5,80000,19
0.004487230303030303,4.163287200000001e-07,9150000.5,80000,19
0.003450147474747474,4.7571684000000016e-07,9250000.5,80000,19
0.0037655979797979796,4.7571684000000005e-07,9350000.5,80000,19
0.003279161616161616,5.054109e-07,9450000.5,80000,19
0.0036768848484848484,,9550000.5,80000,19
0.003377406060606061,,9650000.5,80000,19
0.0044888626262626265,,9750000.5,80000,19
0.0031147090909090912,,9850000.5,80000,19
0.003632808080808081,,9950000.5,80000,19
0.0036829393939393934,,50000.5,120000,1
0.0036270525252525255,,150000.5,120000,1
0.0040068525252525255,,250000.5,120000,1
0.002989563636363637,,350000.5,120000,1
0.0030856363636363637,,450000.5,120000,1
0.004940844444444445,5.085947400000001e-07,550000.5,120000,1
0.0031824848484848485,4.7890068e-07,650000.5,120000,1
0.0035457313131313133,4.4920662e-07,750000.5,120000,1
0.003900604040404041,4.4920662000000006e-07,850000.5,120000,1
0.00409739393939394,5.2405062e-07,950000.5,120000,1
0.002742448484848485,5.2405062e-07,1050000.5,120000,1
0.003605486868686869,4.6466250000000005e-07,1150000.5,120000,1
0.0030416525252525252,4.6466250000000005e-07,1250000.5,120000,1
